country_fr,iso3c,pop2018,date,test_unit,tests,cases,deaths,tests_7dravg,cases_7dravg,deaths_7dravg,ctratio_7dravg
Autriche,AUT,8847037,2020-03-26,tests performed,3588,606,4,3182,700,14,0.22
Autriche,AUT,8847037,2020-03-27,tests performed,3557,1141,18,3420,689,16,0.2
Autriche,AUT,8847037,2020-03-28,tests performed,3198,668,16,3458,586,15,0.17
Autriche,AUT,8847037,2020-03-29,tests performed,3691,594,0,3582,547,14,0.15
Autriche,AUT,8847037,2020-03-30,tests performed,3014,522,18,3718,496,17,0.13
Autriche,AUT,8847037,2020-03-31,tests performed,2889,805,22,3422,453,17,0.13
Autriche,AUT,8847037,2020-04-01,tests performed,3519,564,20,3351,383,16,0.11
Autriche,AUT,8847037,2020-04-02,tests performed,36327,529,18,8028,351,16,0.04
Autriche,AUT,8847037,2020-04-03,tests performed,6153,418,12,8399,323,18,0.04
Autriche,AUT,8847037,2020-04-04,tests performed,5791,396,10,8769,303,20,0.03
Autriche,AUT,8847037,2020-04-05,tests performed,4282,241,18,8854,291,22,0.03
Autriche,AUT,8847037,2020-04-06,tests performed,2880,217,18,8834,292,22,0.03
Autriche,AUT,8847037,2020-04-07,tests performed,3939,314,16,8984,279,21,0.03
Autriche,AUT,8847037,2020-04-08,tests performed,5520,343,23,9270,249,21,0.03
Autriche,AUT,8847037,2020-04-09,tests performed,5532,329,30,4871,228,20,0.05
Autriche,AUT,8847037,2020-04-10,tests performed,8456,279,22,5200,200,17,0.04
Autriche,AUT,8847037,2020-04-11,tests performed,6232,312,24,5263,171,16,0.03
Autriche,AUT,8847037,2020-04-12,tests performed,3902,247,18,5209,149,16,0.03
Autriche,AUT,8847037,2020-04-13,tests performed,3535,130,13,5302,122,15,0.02
Autriche,AUT,8847037,2020-04-14,tests performed,3384,106,18,5223,110,15,0.02
Autriche,AUT,8847037,2020-04-15,tests performed,5005,191,16,5149,106,13,0.02
Autriche,AUT,8847037,2020-04-16,tests performed,6015,136,9,5218,86,11,0.02
Autriche,AUT,8847037,2020-04-17,tests performed,6456,78,17,4933,79,14,0.02
Autriche,AUT,8847037,2020-04-18,tests performed,6660,155,21,4994,77,14,0.02
Autriche,AUT,8847037,2020-04-19,tests performed,3311,59,12,4909,66,12,0.01
Autriche,AUT,8847037,2020-04-20,tests performed,3706,48,9,4934,67,13,0.01
Autriche,AUT,8847037,2020-04-21,tests performed,6069,73,10,5317,68,13,0.01
Autriche,AUT,8847037,2020-04-22,tests performed,12776,50,1,6428,68,12,0.01
Autriche,AUT,8847037,2020-04-23,tests performed,4041,91,31,6146,69,15,0.01
Autriche,AUT,8847037,2020-04-24,tests performed,6851,61,14,6202,63,12,0.01
Autriche,AUT,8847037,2020-04-25,tests performed,8403,83,5,6451,63,11,0.01
Autriche,AUT,8847037,2020-04-26,tests performed,6542,66,23,6913,56,11,0.01
Autriche,AUT,8847037,2020-04-27,tests performed,4906,55,6,7084,48,9,0.01
Autriche,AUT,8847037,2020-04-28,tests performed,7041,67,7,7223,50,8,0.01
Autriche,AUT,8847037,2020-04-29,tests performed,8176,58,20,6566,45,7,0.01
Autriche,AUT,8847037,2020-04-30,tests performed,8645,50,11,7223,39,5,0.01
Autriche,AUT,8847037,2020-05-01,tests performed,7680,60,4,7342,41,4,0.01
Autriche,AUT,8847037,2020-05-02,tests performed,5540,34,5,6933,36,4,0.01
Autriche,AUT,8847037,2020-05-03,tests performed,4736,12,7,6675,40,4,0.01
Autriche,AUT,8847037,2020-05-04,tests performed,4716,68,2,6648,44,3,0.01
Autriche,AUT,8847037,2020-05-05,tests performed,6812,31,2,6615,36,3,0.01
Autriche,AUT,8847037,2020-05-06,tests performed,6371,17,6,6357,44,3,0.01
Autriche,AUT,8847037,2020-05-07,tests performed,5640,65,2,5928,46,2,0.01
Autriche,AUT,8847037,2020-05-08,tests performed,6175,22,1,5713,45,2,0.01
Autriche,AUT,8847037,2020-05-09,tests performed,7621,62,5,6010,47,2,0.01
Autriche,AUT,8847037,2020-05-10,tests performed,4818,42,1,6022,48,2,0.01
Autriche,AUT,8847037,2020-05-11,tests performed,2976,10,3,5773,52,2,0.01
Autriche,AUT,8847037,2020-05-12,tests performed,9830,87,2,6204,52,2,0.01
Autriche,AUT,8847037,2020-05-13,tests performed,6938,36,3,6285,44,1,0.01
Autriche,AUT,8847037,2020-05-14,tests performed,8354,54,1,6673,50,1,0.01
Autriche,AUT,8847037,2020-05-15,tests performed,6745,41,2,6755,44,1,0.01
